Date,Precipitation,Precipitation probability,Precipitation cover,Precipitation type,Sea level pressure
2022-06-13,0.0,0,0.0,rain,1012.8
2022-06-14,0.0,0,0.0,rain,1011.4
2022-06-15,2.0,100,4.17,rain,1012.1
2022-06-16,4.0,100,8.33,rain,1012.7
2022-06-17,0.0,0,0.0,rain,1013.1
2022-06-18,106.0,100,12.5,rain,1014.2
2022-06-19,0.1,100,4.17,rain,1014.3
2022-06-20,0.5,100,4.17,rain,1014.2
2022-06-21,3.0,100,8.33,rain,1013.5
2022-06-22,5.0,100,4.17,rain,1013.1
2022-06-23,0.0,0,0.0,rain,1013.1
2022-06-24,73.0,100,8.33,rain,1012.4
2022-06-25,0.2,100,8.33,rain,1012.7
2022-06-26,0.5,100,4.17,rain,1013.4
2022-06-27,0.0,0,0.0,rain,1013.4
2022-06-28,2.0,100,4.17,rain,1013.1
2022-06-29,0.0,0,0.0,rain,1013.6
2022-06-30,52.0,100,8.33,rain,1013.0
2022-07-01,15.0,100,8.33,rain,1013.3
2022-07-02,1.0,100,4.17,rain,1014.9
2022-07-03,0.0,0,0.0,rain,1015.6
2022-07-04,8.0,100,4.17,rain,1014.5
2022-07-05,33.0,100,8.33,rain,1015.0
2022-07-06,0.0,0,0.0,rain,1014.6
2022-07-07,4.0,100,4.17,rain,1014.4
2022-07-08,65.0,100,12.5,rain,1014.9
2022-07-09,70.0,100,12.5,rain,1015.3
2022-07-10,4.0,100,4.17,rain,1014.1
2022-07-11,0.2,100,4.17,rain,1013.0
2022-07-12,17.0,100,8.33,rain,1014.8
2022-07-13,10.0,100,4.17,rain,1015.2
2022-07-14,0.1,100,4.17,rain,1013.9
2022-07-15,0.1,100,4.17,rain,1013.0
2022-07-16,1.7,100,12.5,rain,1013.8
2022-07-17,0.0,0,0.0,rain,1015.0
2022-07-18,0.6,100,12.5,rain,1015.2
2022-07-19,0.1,100,4.17,rain,1014.9
2022-07-20,0.1,100,4.17,rain,1015.4
2022-07-21,0.0,0,0.0,,1014.4
2022-07-22,0.1,100,4.17,rain,1013.4
2022-07-23,5.8,100,37.5,rain,1013.1
2022-07-24,19.0,100,8.33,rain,1013.8
2022-07-25,162.0,100,4.17,rain,1013.6
2022-07-26,2.2,100,33.33,rain,1012.7
2022-07-27,10.4,100,54.17,rain,1012.5
2022-07-28,6.6,100,41.67,rain,1013.3
2022-07-29,0.7,100,16.67,rain,1014.3
2022-07-30,0.1,100,4.17,rain,1014.5
2022-07-31,0.8,100,25.0,rain,1014.1
2022-08-01,3.9,100,12.5,rain,1014.1
2022-08-02,0.3,100,12.5,rain,1014.7
2022-08-03,0.0,0,0.0,rain,1014.0
2022-08-04,0.0,0,0.0,rain,1013.8
2022-08-05,0.1,100,4.17,rain,1014.5
2022-08-06,0.0,0,0.0,,1014.8
2022-08-07,0.0,0,0.0,,1013.3
2022-08-08,0.0,0,0.0,rain,1013.2
2022-08-09,0.0,0,0.0,rain,1013.6
2022-08-10,0.0,0,0.0,rain,1013.9
2022-08-11,0.0,0,0.0,rain,1013.6
2022-08-12,0.0,0,0.0,rain,1013.5
2022-08-13,0.0,0,0.0,rain,1013.8
2022-08-14,0.0,0,0.0,rain,1012.2
2022-08-15,5.0,100,12.5,rain,1012.2
2022-08-16,5.0,100,8.33,rain,1013.9
2022-08-17,0.0,0,0.0,rain,1014.0
2022-08-18,0.0,0,0.0,,1013.2
2022-08-19,9.0,100,8.33,rain,1013.5
2022-08-20,3.0,100,4.17,rain,1014.9
2022-08-21,0.0,0,0.0,,1014.4
2022-08-22,0.0,0,0.0,rain,1012.2
2022-08-23,14.0,100,8.33,rain,1012.7
2022-08-24,0.0,0,0.0,rain,1015.3
2022-08-25,0.0,0,0.0,,1014.6
2022-08-26,0.0,0,0.0,rain,1012.9
2022-08-27,22.0,100,12.5,rain,1011.8
2022-08-28,1.0,100,4.17,rain,1013.6
2022-08-29,0.0,0,0.0,,1013.6
2022-08-30,13.0,100,8.33,rain,1012.3
2022-08-31,1.0,100,4.17,rain,1013.2
2022-09-01,2.0,100,8.33,rain,1014.2
2022-09-02,0.0,0,0.0,rain,1015.3
2022-09-03,4.0,100,4.17,rain,1014.9
2022-09-04,13.0,100,8.33,rain,1015.4
2022-09-05,6.0,100,4.17,rain,1015.3
2022-09-06,0.0,0,0.0,rain,1014.9
2022-09-07,0.0,0,0.0,rain,1013.8
2022-09-08,14.0,100,4.17,rain,1012.9
2022-09-09,2.0,100,4.17,rain,1013.6
2022-09-10,0.5,100,16.67,rain,1014.4
2022-09-11,12.9,100,8.33,rain,1013.1
2022-09-12,2.0,100,4.17,rain,1012.6
2022-09-13,2.9,100,8.33,rain,1013.1
2022-09-14,0.1,100,4.17,rain,1012.5
2022-09-15,3.0,100,4.17,rain,1013.4
2022-09-16,0.5,100,8.33,rain,1013.9
2022-09-17,0.0,0,0.0,rain,1012.8
2022-09-18,2.0,100,8.33,rain,1012.1
2022-09-19,59.0,100,4.17,rain,1012.2
2022-09-20,4.1,100,8.33,rain,1012.9
2022-09-21,25.9,100,8.33,rain,1013.3
2022-09-22,11.0,100,8.33,rain,1012.8
2022-09-23,0.0,0,0.0,rain,1012.7
2022-09-24,13.0,100,4.17,rain,1012.5
2022-09-25,12.0,100,4.17,rain,1011.8
2022-09-26,10.0,100,4.17,rain,1012.4
2022-09-27,3.0,100,4.17,rain,1013.4
2022-09-28,3.0,100,8.33,rain,1013.8
2022-09-29,0.1,100,4.17,rain,1013.0
2022-09-30,0.0,0,0.0,rain,1012.1
2022-10-01,1.0,100,4.17,rain,1013.7
2022-10-02,0.5,100,4.17,rain,1014.6
2022-10-03,0.0,0,0.0,,1013.3
2022-10-04,0.0,0,0.0,rain,1012.0
2022-10-05,5.0,100,4.17,rain,1012.1
2022-10-06,0.0,0,0.0,rain,1012.4
2022-10-07,0.0,0,0.0,rain,1013.1
2022-10-08,0.0,0,0.0,rain,1012.6
2022-10-09,37.0,100,8.33,rain,1012.9
2022-10-10,0.0,0,0.0,rain,1013.9
2022-10-11,0.0,0,0.0,rain,1013.3
2022-10-12,0.0,0,0.0,rain,1011.8
2022-10-13,7.0,100,4.17,rain,1011.6
2022-10-14,0.7,100,8.33,rain,1012.7
2022-10-15,0.0,0,0.0,rain,1012.5
2022-10-16,0.0,0,0.0,rain,1012.3
2022-10-17,2.5,100,16.67,rain,1013.0
2022-10-18,0.5,100,8.33,rain,1013.5
2022-10-19,2.0,100,4.17,rain,1012.9
2022-10-20,70.0,100,4.17,rain,1012.0
2022-10-21,2.5,100,16.67,rain,1011.7
2022-10-22,0.0,0,0.0,rain,1012.6
2022-10-23,0.0,0,0.0,rain,1013.2
2022-10-24,3.0,100,4.17,rain,1012.2
2022-10-25,4.0,100,4.17,rain,1012.1
2022-10-26,0.5,100,8.33,rain,1011.3
2022-10-27,0.6,100,12.5,rain,1011.8
2022-10-28,4.1,100,8.33,rain,1012.2
2022-10-29,0.0,0,0.0,rain,1011.7
2022-10-30,0.0,0,0.0,rain,1010.8
2022-10-31,7.0,100,4.17,rain,1011.2
2022-11-01,0.0,0,0.0,,1012.2
2022-11-02,0.0,0,0.0,rain,1011.8
2022-11-03,0.0,0,0.0,rain,1012.2
2022-11-04,6.0,100,4.17,rain,1012.0
2022-11-05,0.0,0,0.0,rain,1012.0
2022-11-06,0.0,0,0.0,,1012.6
2022-11-07,0.8,100,12.5,rain,1012.5
2022-11-08,0.0,0,0.0,rain,1012.0
2022-11-09,8.0,100,8.33,rain,1012.7
2022-11-10,0.0,0,0.0,rain,1011.5
2022-11-11,2.0,100,4.17,rain,1012.3
2022-11-12,2.0,100,4.17,rain,1012.5
2022-11-13,11.0,100,4.17,rain,1012.8
2022-11-14,0.0,0,0.0,rain,1012.7
2022-11-15,0.0,0,0.0,,1012.5
2022-11-16,0.3,100,4.17,rain,1012.0
2022-11-17,0.0,0,0.0,,1011.6
2022-11-18,0.0,0,0.0,,1011.0
2022-11-19,0.1,100,4.17,rain,1011.7
2022-11-20,0.0,0,0.0,,1011.7
2022-11-21,0.0,0,0.0,rain,1012.1
2022-11-22,0.0,0,0.0,rain,1011.3
2022-11-23,0.1,100,4.17,rain,1010.3
2022-11-24,0.1,100,4.17,rain,1009.8
2022-11-25,0.0,0,0.0,,1010.5
2022-11-26,0.1,100,4.17,rain,1011.1
2022-11-27,42.0,100,4.17,rain,1009.6
2022-11-28,54.0,100,4.17,rain,1008.8
2022-11-29,0.0,0,0.0,,1008.6
2022-11-30,2.0,100,4.17,rain,1008.8
2022-12-01,0.0,0,0.0,,1009.7
2022-12-02,7.0,100,4.17,rain,1009.2
2022-12-03,2.0,100,4.17,rain,1008.7
2022-12-04,0.0,0,0.0,,1009.8
2022-12-05,0.0,0,0.0,,1011.2
2022-12-06,0.0,0,0.0,,1011.4
2022-12-07,0.0,0,0.0,,1011.0
2022-12-08,0.0,0,0.0,rain,1011.3
2022-12-09,0.2,100,4.17,rain,1012.1
2022-12-10,0.0,0,0.0,,1011.7
2022-12-11,0.0,0,0.0,,1011.1
2022-12-12,0.0,0,0.0,,1011.0
2022-12-13,0.0,0,0.0,,1011.2
2022-12-14,0.9,100,4.17,rain,1010.1
2022-12-15,0.0,0,0.0,,1010.4
2022-12-16,0.1,100,4.17,rain,1009.3
2022-12-17,0.0,0,0.0,,1009.5
2022-12-18,0.0,0,0.0,rain,1011.2
2022-12-19,0.0,0,0.0,,1010.3
2022-12-20,0.0,0,0.0,,1009.8
2022-12-21,0.0,0,0.0,,1010.8
2022-12-22,0.0,0,0.0,,1012.1
2022-12-23,0.0,0,0.0,,1012.4
2022-12-24,0.0,0,0.0,,1012.5
2022-12-25,0.0,0,0.0,,1012.7
2022-12-26,0.0,0,0.0,,1012.8
2022-12-27,0.0,0,0.0,,1012.9
2022-12-28,0.0,0,0.0,,1012.4
2022-12-29,0.0,0,0.0,,1012.1
2022-12-30,0.0,0,0.0,,1012.5
2022-12-31,0.0,0,0.0,,1012.8
2023-01-01,0.0,0,0.0,,1011.8
2023-01-02,0.0,0,0.0,,1011.6
2023-01-03,0.0,0,0.0,,1011.8
2023-01-04,0.0,0,0.0,,1012.1
2023-01-05,0.0,0,0.0,,1012.3
2023-01-06,0.0,0,0.0,,1013.0
2023-01-07,0.0,0,0.0,,1012.5
2023-01-08,0.0,0,0.0,,1012.4
2023-01-09,0.0,0,0.0,,1012.7
2023-01-10,0.0,0,0.0,,1013.8
2023-01-11,0.0,0,0.0,,1013.6
2023-01-12,0.0,0,0.0,,1011.8
2023-01-13,0.0,0,0.0,,1011.2
2023-01-14,0.0,0,0.0,,1013.1
2023-01-15,0.0,0,0.0,,1011.5
2023-01-16,0.0,0,0.0,,1011.0
2023-01-17,0.0,0,0.0,,1011.3
2023-01-18,0.0,0,0.0,,1011.2
2023-01-19,0.0,0,0.0,,1011.6
2023-01-20,0.0,0,0.0,rain,1011.4
2023-01-21,0.0,0,0.0,,1011.1
2023-01-22,0.2,100,4.17,rain,1010.3
2023-01-23,0.0,0,0.0,,1010.4
2023-01-24,0.0,0,0.0,rain,1010.4
2023-01-25,0.0,0,0.0,rain,1009.7
2023-01-26,0.0,0,0.0,rain,1009.5
2023-01-27,0.0,0,0.0,rain,1009.4
2023-01-28,6.0,100,4.17,rain,1010.5
2023-01-29,6.0,100,4.17,rain,1010.3
2023-01-30,0.0,0,0.0,,1010.6
2023-01-31,0.0,0,0.0,,1011.5
2023-02-01,0.0,0,0.0,,1011.1
2023-02-02,0.0,0,0.0,rain,1011.6
2023-02-03,0.1,100,4.17,rain,1011.5
2023-02-04,0.0,0,0.0,rain,1011.3
2023-02-05,0.0,0,0.0,rain,1011.1
2023-02-06,0.0,0,0.0,rain,1010.8
2023-02-07,1.0,100,8.33,rain,1010.7
2023-02-08,0.0,0,0.0,rain,1011.2
2023-02-09,0.0,0,0.0,rain,1010.9
2023-02-10,0.0,0,0.0,rain,1010.8
2023-02-11,0.0,0,0.0,rain,1010.5
2023-02-12,0.0,0,0.0,rain,1009.8
2023-02-13,0.0,0,0.0,rain,1010.4
2023-02-14,0.0,0,0.0,,1010.5
2023-02-15,0.0,0,0.0,,1009.5
2023-02-16,0.0,0,0.0,,1009.0
2023-02-17,0.0,0,0.0,,1011.3
2023-02-18,0.0,0,0.0,,1009.5
2023-02-19,0.0,0,0.0,,1009.9
2023-02-20,0.0,0,0.0,,1010.0
2023-02-21,0.0,0,0.0,,1009.8
2023-02-22,0.0,0,0.0,rain,1010.8
2023-02-23,0.0,0,0.0,rain,1010.5
2023-02-24,0.6,100,12.5,rain,1009.9
2023-02-25,0.4,100,8.33,rain,1010.4
2023-02-26,4.5,100,25.0,rain,1010.7
2023-02-27,0.1,100,4.17,rain,1011.9
2023-02-28,0.9,100,4.17,rain,1013.3
2023-03-01,29.0,100,8.33,rain,1012.2
2023-03-02,0.0,0,0.0,rain,1011.0
2023-03-03,0.2,100,8.33,rain,1011.0
2023-03-04,0.0,0,0.0,rain,1011.0
2023-03-05,0.0,0,0.0,,1010.3
2023-03-06,7.0,100,4.17,rain,1009.4
2023-03-07,37.0,100,4.17,rain,1009.2
2023-03-08,0.1,100,4.17,rain,1009.9
2023-03-09,0.0,0,0.0,,1010.4
2023-03-10,0.0,0,0.0,,1010.3
2023-03-11,0.9,100,4.17,rain,1010.2
2023-03-12,0.0,0,0.0,,1010.2
2023-03-13,0.0,0,0.0,rain,1010.2
2023-03-14,0.0,0,0.0,rain,1009.3
2023-03-15,5.0,100,8.33,rain,1008.9
2023-03-16,10.0,100,4.17,rain,1008.8
2023-03-17,0.0,0,0.0,rain,1009.1
2023-03-18,51.0,100,8.33,rain,1010.4
2023-03-19,0.0,0,0.0,,1011.6
2023-03-20,0.0,0,0.0,,1010.8
2023-03-21,0.4,100,12.5,rain,1010.4
2023-03-22,17.0,100,4.17,rain,1012.0
2023-03-23,0.0,0,0.0,,1011.1
2023-03-24,4.0,100,4.17,rain,1011.0
2023-03-25,0.0,0,0.0,rain,1011.5
2023-03-26,0.0,0,0.0,,1011.9
2023-03-27,17.0,100,4.17,rain,1011.3
2023-03-28,0.0,0,0.0,,1010.8
2023-03-29,0.0,0,0.0,rain,1011.4
2023-03-30,0.0,0,0.0,rain,1011.7
2023-03-31,0.0,0,0.0,,1011.4
2023-04-01,0.0,0,0.0,,1011.4
2023-04-02,0.0,0,0.0,,1010.3
2023-04-03,0.0,0,0.0,rain,1008.9
2023-04-04,0.0,0,0.0,,1008.8
2023-04-05,0.0,0,0.0,,1009.3
2023-04-06,0.0,0,0.0,rain,1009.2
2023-04-07,0.0,0,0.0,rain,1009.5
2023-04-08,0.0,0,0.0,rain,1009.7
2023-04-09,2.0,100,4.17,rain,1010.8
2023-04-10,0.0,0,0.0,,1010.8
2023-04-11,0.1,100,4.17,rain,1010.3
2023-04-12,43.0,100,4.17,rain,1010.0
2023-04-13,0.1,100,4.17,rain,1009.7
2023-04-14,0.1,100,4.17,rain,1009.7
2023-04-15,4.0,100,4.17,rain,1010.9
2023-04-16,0.0,0,0.0,rain,1009.2
2023-04-17,0.0,0,0.0,,1008.8
2023-04-18,0.0,0,0.0,rain,1008.7
2023-04-19,22.0,100,4.17,rain,1010.4
2023-04-20,0.0,0,0.0,,1009.0
2023-04-21,0.0,0,0.0,rain,1008.4
2023-04-22,0.0,0,0.0,rain,1008.3
2023-04-23,41.0,100,4.17,rain,1009.5
2023-04-24,8.0,100,4.17,rain,1010.9
2023-04-25,0.0,0,0.0,rain,1010.5
2023-04-26,5.0,100,4.17,rain,1009.7
2023-04-27,91.0,100,4.17,rain,1011.9
2023-04-28,10.0,100,4.17,rain,1012.4
2023-04-29,4.0,100,4.17,rain,1013.0
2023-04-30,0.0,0,0.0,rain,1012.1
2023-05-01,6.0,100,4.17,rain,1011.3
2023-05-02,0.0,0,0.0,,1011.6
2023-05-03,0.0,0,0.0,,1013.0
2023-05-04,1.0,100,4.17,rain,1013.6
2023-05-05,0.0,0,0.0,,1013.1
2023-05-06,14.0,100,4.17,rain,1012.5
2023-05-07,0.0,0,0.0,,1011.5
2023-05-08,0.0,0,0.0,,1012.3
2023-05-09,0.0,0,0.0,,1011.2
2023-05-10,0.0,0,0.0,,1010.4
2023-05-11,0.0,0,0.0,rain,1010.8
2023-05-12,0.4,100,4.17,rain,1011.8
2023-05-13,0.0,0,0.0,rain,1012.4
2023-05-14,5.0,100,4.17,rain,1013.4
2023-05-15,64.0,100,4.17,rain,1013.4
2023-05-16,0.0,0,0.0,rain,1012.9
2023-05-17,0.0,0,0.0,rain,1011.9
2023-05-18,59.0,100,12.5,rain,1012.4
2023-05-19,0.1,100,4.17,rain,1012.3
2023-05-20,5.0,100,4.17,rain,1012.0
2023-05-21,0.0,0,0.0,rain,1012.6
2023-05-22,0.0,0,0.0,rain,1012.4
2023-05-23,12.0,100,4.17,rain,1011.7
2023-05-24,0.0,0,0.0,rain,1011.0
2023-05-25,7.0,100,4.17,rain,1011.1
2023-05-26,7.0,100,4.17,rain,1011.1
2023-05-27,2.0,100,4.17,rain,1011.5
2023-05-28,0.0,0,0.0,rain,1012.0
2023-05-29,20.0,100,4.17,rain,1012.5
2023-05-30,0.0,0,0.0,,1013.4
2023-05-31,0.0,0,0.0,rain,1012.6
2023-06-01,5.0,100,4.17,rain,1011.9
2023-06-02,8.0,100,4.17,rain,1012.4
2023-06-03,7.0,100,4.17,rain,1013.6
2023-06-04,0.1,100,4.17,rain,1013.3
2023-06-05,0.0,0,0.0,rain,1013.1
2023-06-06,33.0,100,8.33,rain,1013.2
2023-06-07,0.0,0,0.0,rain,1014.1
2023-06-08,66.2,100,12.5,rain,1015.3
2023-06-09,0.0,0,0.0,rain,1014.0
2023-06-10,0.0,0,0.0,rain,1013.3
2023-06-11,67.0,100,8.33,rain,1014.6
2023-06-12,0.1,100,4.17,rain,1014.9
2023-06-13,0.0,0,0.0,,1014.3
2023-06-14,18.0,100,4.17,rain,1013.6
2023-06-15,100.0,100,4.17,rain,1014.2
2023-06-16,6.0,100,4.17,rain,1014.0
2023-06-17,0.0,0,0.0,rain,1013.2
2023-06-18,0.7,100,16.67,rain,1013.1
2023-06-19,19.0,100,4.17,rain,1013.6
2023-06-20,0.0,0,0.0,rain,1013.3
2023-06-21,1.0,100,4.17,rain,1014.1
2023-06-22,0.0,0,0.0,rain,1014.2
2023-06-23,2.0,100,4.17,rain,1013.5
2023-06-24,26.0,100,16.67,rain,1013.9
2023-06-25,4.0,100,4.17,rain,1014.7
2023-06-26,0.0,0,0.0,rain,1014.2
2023-06-27,0.0,0,0.0,rain,1013.4
2023-06-28,32.0,100,12.5,rain,1014.2
2023-06-29,3.0,100,4.17,rain,1015.8
2023-06-30,1.1,100,12.5,rain,1015.5
2023-07-01,0.9,100,8.33,rain,1014.2
2023-07-02,12.0,100,4.17,rain,1015.1
2023-07-03,0.2,100,4.17,rain,1015.2
2023-07-04,6.8,100,29.17,rain,1015.4
2023-07-05,2.0,100,4.17,rain,1015.1
2023-07-06,0.3,100,4.17,rain,1013.2
2023-07-07,51.0,100,4.17,rain,1013.8
2023-07-08,7.0,100,8.33,rain,1014.0
2023-07-09,5.0,100,4.17,rain,1015.4
2023-07-10,0.0,0,0.0,rain,1014.5
2023-07-11,0.0,0,0.0,rain,1013.1
2023-07-12,0.0,0,0.0,rain,1012.4
2023-07-13,1.0,100,4.17,rain,1013.3
2023-07-14,0.0,0,0.0,rain,1013.7
2023-07-15,3.2,100,16.67,rain,1013.5
2023-07-16,4.3,100,25.0,rain,1013.2
2023-07-17,13.0,100,8.33,rain,1014.2
2023-07-18,0.1,100,4.17,rain,1015.2
2023-07-19,0.0,0,0.0,rain,1015.1
2023-07-20,0.0,0,0.0,rain,1014.8
2023-07-21,0.4,100,4.17,rain,1014.8
2023-07-22,51.0,100,8.33,rain,1015.6
